ts,account,symbol,side,size_usd,size_tokens,collateral,entry_price,current_price,pnl,liquidation_price,leverage,is_liquidatable,opened_at
1768308944023934000,36,ETH-USD,Buy,3773270142,1204347908006282040,1882861801,3133039977,3130675090,-5603958,1690084861,2,false,1768308915
1768308944023934000,32,ETH-USD,Buy,2047530120,653597432932541706,1022127036,3132708326,3130675090,-2824491,1667654442,2,false,1768308918
1768308944023934000,43,ETH-USD,Sell,3319125000,1060742519763834685,1656907200,3129058124,3130675090,-4142394,4596935193,2,false,1768308892
1768308944023934000,24,ETH-USD,Buy,469550361,149878813711841136,156047237,3132866810,3130675090,-671447,2170735381,3,false,1768308936
1768308944023934000,33,ETH-USD,Sell,2838052070,907058680212784034,1416187983,3128851673,3130675090,-3729494,4601943116,2,false,1768308918
1768308944023934000,31,ETH-USD,Sell,2085340964,666448380266869958,1040585142,3129035984,3130675090,-2617358,4611426387,2,false,1768308920
1768308944023934000,30,ETH-USD,Buy,3035642740,968848167832273658,1515392856,3133249193,3130675090,-4710851,1680326370,2,false,1768308920
1768308944023934000,37,ETH-USD,Sell,3396350100,1085758340690647122,1695457970,3128090268,3130675090,-5290943,4594558298,2,false,1768308915
1768308944023934000,25,ETH-USD,Sell,718725087,229785794905243908,238856304,3127804689,3130675090,-1185377,4103912252,3,false,1768308936
1768308944023934000,51,ETH-USD,Sell,7333118170,2343619006396684348,3660692591,3128971965,3130675090,-9354187,4546840625,2,false,1768308844
1768308944023934000,23,ETH-USD,Sell,358792188,114690005118757064,119238604,3128364913,3130675090,-527389,4105457542,3,false,1768308942
1768308944023934000,20,ETH-USD,Buy,704325543,224818221046556396,234211721,3132866810,3130675090,-1007171,2173050889,3,false,1768308935
1768308944023934000,41,ETH-USD,Sell,4972753906,1589039568156293144,2481404200,3129408483,3130675090,-5648757,4576289138,2,false,1768308923
1768308944023934000,21,ETH-USD,Sell,626067150,200161842586149457,208062983,3127804689,3130675090,-1032558,4104722290,3,false,1768308935
1768308944023934000,34,ETH-USD,Buy,2819707682,899620327532762935,1407034134,3134330779,3130675090,-5347260,1678826154,2,false,1768308886
1768308944023934000,22,ETH-USD,Buy,624285885,199243638409558183,207595867,3133278884,3130675090,-974702,2172333543,3,false,1768308942
1768308944023934000,52,ETH-USD,Buy,10036503686,3203778533322671036,5008215340,3132708326,3130675090,-13844984,1768389498,2,false,1768308913
1768308944023934000,26,ETH-USD,Buy,788893560,251822762394937410,262333406,3132733326,3130675090,-1094536,2174018008,3,false,1768308937
1768308944023934000,35,ETH-USD,Sell,1867798080,596903288441929781,932404802,3129146908,3130675090,-2278021,4614846806,2,false,1768308886
1768308946023934000,40,ETH-USD,Buy,5025988676,1603950676132091330,2508973548,3133505756,3130585000,-7961632,1733275693,2,false,1768308923
1768308946023934000,27,ETH-USD,Sell,1056866928,337837776592765133,351232110,3128326673,3130585000,-1453153,4105407374,3,false,1768308937
1768308946023934000,42,ETH-USD,Buy,3723056250,1188038251117566916,1857805069,3133784831,3130585000,-6228693,1717724379,2,false,1768308892
1768308946023934000,50,ETH-USD,Buy,10558296806,3368864484213386107,5268590107,3134081782,3130585000,-18662801,1803575958,2,false,1768308844
