ts,account,symbol,side,size_usd,collateral,execution_price,leverage,order_type,pnl
1768308735523934000,20,ETH-USD,Buy,371854101,123579513,3130085030,3,Increase,0
1768308735523934000,21,ETH-USD,Sell,747464304,248556797,3130085030,3,Increase,0
1768308735823934000,25,ETH-USD,Sell,418168416,139054938,3130085030,0,Decrease,-600396
1768308735823934000,24,ETH-USD,Buy,898310898,298538656,3130085030,0,Decrease,-1240899
1768308736523934000,24,ETH-USD,Buy,884562027,293969447,3130085030,3,Increase,0
1768308736523934000,25,ETH-USD,Sell,446976141,148634467,3130085030,3,Increase,0
1768308739023934000,23,ETH-USD,Sell,433818432,144259090,3130071097,0,Decrease,-622866
1768308739023934000,22,ETH-USD,Buy,475760475,158111065,3130071097,0,Decrease,-661433
1768308739623934000,22,ETH-USD,Buy,450104223,149584637,3130071097,3,Increase,0
1768308739623934000,23,ETH-USD,Sell,682355499,226905949,3130071097,3,Increase,0
1768308743523934000,37,ETH-USD,Sell,3242122176,1618467391,3130095234,0,Decrease,-2476315
1768308743523934000,36,ETH-USD,Buy,3248699124,1621100863,3130095234,0,Decrease,-6178257
1768308744823934000,27,ETH-USD,Sell,810695898,269583410,3130091645,0,Decrease,-1245533
1768308744823934000,26,ETH-USD,Buy,775012758,257562574,3130091645,0,Decrease,-1193256
1768308745523934000,20,ETH-USD,Buy,371854101,123579513,3130091645,0,Decrease,-572529
1768308745523934000,21,ETH-USD,Sell,747464304,248556797,3130091645,0,Decrease,-1155550
1768308745623934000,27,ETH-USD,Sell,1241394345,412805000,3130091645,3,Increase,0
1768308745623934000,26,ETH-USD,Buy,719921076,239253771,3130091645,3,Increase,0
1768308746023934000,20,ETH-USD,Buy,444473013,147713198,3130091645,3,Increase,0
1768308746023934000,21,ETH-USD,Sell,661723239,220045035,3130195081,3,Increase,0
1768308747023934000,37,ETH-USD,Sell,4419209414,2205185498,3130195081,2,Increase,0
1768308747023934000,36,ETH-USD,Buy,2539214248,1267575753,3130195081,2,Increase,0
1768308749123934000,24,ETH-USD,Buy,884562027,293969447,3130475030,0,Decrease,-1066070
1768308749123934000,25,ETH-USD,Sell,446976141,148634467,3130475030,0,Decrease,-650877
1768308749823934000,24,ETH-USD,Buy,563485503,187377713,3130475030,3,Increase,0
1768308749823934000,25,ETH-USD,Sell,562233315,186848872,3130475030,3,Increase,0
1768308754623934000,22,ETH-USD,Buy,450104223,149584637,3130846757,0,Decrease,-492882
1768308754623934000,23,ETH-USD,Sell,682355499,226905949,3130846757,0,Decrease,-1086635
1768308755223934000,23,ETH-USD,Sell,934244670,310480646,3130846757,3,Increase,0
1768308755223934000,22,ETH-USD,Buy,913581081,303796163,3130846757,3,Increase,0
1768308756023934000,20,ETH-USD,Buy,444473013,147713198,3130857671,0,Decrease,-572780
1768308756023934000,21,ETH-USD,Sell,661723239,220045035,3130857671,0,Decrease,-1003340
1768308756523934000,20,ETH-USD,Buy,725106636,240977106,3130857671,3,Increase,0
1768308756523934000,21,ETH-USD,Sell,860985858,286306498,3130857671,3,Increase,0
1768308757023934000,35,ETH-USD,Sell,1673786748,835554345,3130857671,0,Decrease,-1974606
1768308757023934000,34,ETH-USD,Buy,2173260998,1084457239,3130857671,0,Decrease,-3451064
1768308758023934000,30,ETH-USD,Buy,2316273998,1155820726,3130832624,0,Decrease,-2715014
1768308758023934000,31,ETH-USD,Sell,2865606548,1430510789,3130832624,0,Decrease,-4705729
1768308760023934000,34,ETH-USD,Buy,1858149162,927216432,3130832624,2,Increase,0
1768308760023934000,35,ETH-USD,Sell,2783310202,1389428453,3130832624,2,Increase,0
1768308760023934000,31,ETH-USD,Sell,2080438278,1038138701,3130832624,2,Increase,0
1768308760023934000,42,ETH-USD,Buy,5436814420,2712970396,3130845000,0,Decrease,-9438325
1768308760023934000,43,ETH-USD,Sell,5605931920,2798481215,3130845000,0,Decrease,-6304318
1768308760023934000,30,ETH-USD,Buy,3096405704,1545725728,3130845000,2,Increase,0
1768308762423934000,25,ETH-USD,Sell,562233315,186848872,3130841943,0,Decrease,-850959
1768308762423934000,24,ETH-USD,Buy,563485503,187377713,3130841943,0,Decrease,-719730
1768308763123934000,25,ETH-USD,Sell,629925396,209345207,3130841943,3,Increase,0
1768308763123934000,24,ETH-USD,Buy,922972203,306734429,3130841943,3,Increase,0
1768308764023934000,27,ETH-USD,Sell,1241394345,412805000,3130841943,0,Decrease,-2295367
1768308764023934000,26,ETH-USD,Buy,719921076,239253771,3130895000,0,Decrease,-959613
1768308764823934000,26,ETH-USD,Buy,1196628069,397679395,3130895000,3,Increase,0
1768308764823934000,27,ETH-USD,Sell,652478517,216970857,3130895000,3,Increase,0
1768308766023934000,42,ETH-USD,Buy,5488458934,2738741009,3130895000,2,Increase,0
1768308766023934000,43,ETH-USD,Sell,3785252054,1889597826,3130895000,2,Increase,0
1768308766523934000,20,ETH-USD,Buy,725106636,240977106,3130900000,0,Decrease,-991367
1768308766523934000,21,ETH-USD,Sell,860985858,286306498,3130900000,0,Decrease,-1202001
1768308767023934000,21,ETH-USD,Sell,701947779,233421035,3130900000,3,Increase,0
1768308767023934000,20,ETH-USD,Buy,834697938,277397949,3130900000,3,Increase,0
1768308770223934000,23,ETH-USD,Sell,934244670,310480646,3130899999,0,Decrease,-1310832
1768308770223934000,22,ETH-USD,Buy,913581081,303796163,3130899999,0,Decrease,-1249079
1768308770823934000,23,ETH-USD,Sell,515346138,171369770,3130899999,3,Increase,0
1768308770823934000,22,ETH-USD,Buy,596123358,198111663,3130899999,3,Increase,0
1768308773023934000,33,ETH-USD,Sell,1766941448,882057171,3130941199,0,Decrease,-3293036
1768308773023934000,32,ETH-USD,Buy,1981353298,988695296,3130941199,0,Decrease,-2623461
1768308775523934000,32,ETH-USD,Buy,1601458276,799127680,3130905721,2,Increase,0
1768308775523934000,33,ETH-USD,Sell,1900459772,948709519,3130905721,2,Increase,0
1768308775723934000,24,ETH-USD,Buy,922972203,306734429,3130905721,0,Decrease,-1321280
1768308775723934000,25,ETH-USD,Sell,629925396,209345207,3130905721,0,Decrease,-928781
1768308776423934000,25,ETH-USD,Sell,877278180,291724238,3130900000,3,Increase,0
1768308776423934000,24,ETH-USD,Buy,509084340,169185696,3130900000,3,Increase,0
1768308777023934000,21,ETH-USD,Sell,701947779,233421035,3130900000,0,Decrease,-1081695
1768308777023934000,20,ETH-USD,Buy,834697938,277397949,3130900000,0,Decrease,-1284415
1768308777523934000,21,ETH-USD,Sell,420792960,139927686,3130900000,3,Increase,0
1768308777523934000,20,ETH-USD,Buy,498439278,165647987,3130900000,3,Increase,0
1768308783223934000,26,ETH-USD,Buy,1196628069,397679395,3130725000,0,Decrease,-1749743
1768308783223934000,27,ETH-USD,Sell,652478517,216970857,3130725000,0,Decrease,-884539
1768308784023934000,26,ETH-USD,Buy,901022655,299439863,3130725000,3,Increase,0
1768308784023934000,27,ETH-USD,Sell,1115788293,371036801,3130719119,3,Increase,0
1768308785823934000,23,ETH-USD,Sell,515346138,171369770,3130719119,0,Decrease,-753193
1768308785823934000,22,ETH-USD,Buy,596123358,198111663,3130719119,0,Decrease,-938830
1768308786423934000,22,ETH-USD,Buy,817742427,271763067,3130713738,3,Increase,0
1768308786423934000,23,ETH-USD,Sell,855310992,284419416,3130713738,3,Increase,0
1768308787523934000,20,ETH-USD,Buy,498439278,165647987,3130713738,0,Decrease,-783961
1768308787523934000,21,ETH-USD,Sell,420792960,139927686,3130713738,0,Decrease,-612816
1768308788023934000,20,ETH-USD,Buy,880982844,292779966,3130713738,3,Increase,0
1768308788023934000,21,ETH-USD,Sell,693762012,230698995,3130695000,3,Increase,0
1768308789023934000,25,ETH-USD,Sell,877278180,291724238,3130695000,0,Decrease,-1277180
1768308789023934000,24,ETH-USD,Buy,509084340,169185696,3130695000,0,Decrease,-806541
1768308789723934000,24,ETH-USD,Buy,631148112,209751556,3130695000,3,Increase,0
1768308789723934000,25,ETH-USD,Sell,512807841,170525701,3130695000,3,Increase,0
1768308790023934000,31,ETH-USD,Sell,2080438278,1038138701,3130695000,0,Decrease,-2902413
1768308790023934000,30,ETH-USD,Buy,3096405704,1545725728,3130695000,0,Decrease,-4585421
1768308792023934000,30,ETH-USD,Buy,1869030884,932646412,3130705000,2,Increase,0
