ts,from,to,msg_type,symbol,side,price,qty
1768308918323934000,26,1,MarketOrder,ETH-USD,Buy,,0.23820000000000002
1768308918323934000,27,1,MarketOrder,ETH-USD,Sell,,0.3068
1768308919923934000,30,1,MarketOrder,ETH-USD,Buy,,0.9695
1768308919923934000,31,1,MarketOrder,ETH-USD,Sell,,0.666
1768308922623934000,25,1,MarketOrder,ETH-USD,Sell,,0.2282
1768308922623934000,24,1,MarketOrder,ETH-USD,Buy,,0.21799999999999997
1768308922923934000,41,1,MarketOrder,ETH-USD,Sell,,1.588
1768308922923934000,40,1,MarketOrder,ETH-USD,Buy,,1.605
1768308924423934000,21,1,MarketOrder,ETH-USD,Sell,,0.2032
1768308924423934000,20,1,MarketOrder,ETH-USD,Buy,,0.199
1768308926723934000,22,1,MarketOrder,ETH-USD,Buy,,0.16999999999999998
1768308926723934000,23,1,MarketOrder,ETH-USD,Sell,,0.1014
1768308934923934000,21,1,MarketOrder,ETH-USD,Sell,,0.2
1768308934923934000,20,1,MarketOrder,ETH-USD,Buy,,0.22499999999999998
1768308935923934000,24,1,MarketOrder,ETH-USD,Buy,,0.15
1768308935923934000,25,1,MarketOrder,ETH-USD,Sell,,0.2296
1768308937523934000,27,1,MarketOrder,ETH-USD,Sell,,0.3376
1768308937523934000,26,1,MarketOrder,ETH-USD,Buy,,0.252
1768308942323934000,22,1,MarketOrder,ETH-USD,Buy,,0.1994
1768308942323934000,23,1,MarketOrder,ETH-USD,Sell,,0.11460000000000001
1768308945423934000,20,1,MarketOrder,ETH-USD,Buy,,0.19219999999999998
1768308945423934000,21,1,MarketOrder,ETH-USD,Sell,,0.2182
1768308948923934000,35,1,MarketOrder,ETH-USD,Sell,,0.9315
1768308948923934000,34,1,MarketOrder,ETH-USD,Buy,,0.5315
1768308949223934000,24,1,MarketOrder,ETH-USD,Buy,,0.1282
1768308949223934000,25,1,MarketOrder,ETH-USD,Sell,,0.1946
1768308951923934000,31,1,MarketOrder,ETH-USD,Sell,,0.9815
1768308951923934000,30,1,MarketOrder,ETH-USD,Buy,,0.69
1768308955923934000,20,1,MarketOrder,ETH-USD,Buy,,0.2094
1768308955923934000,21,1,MarketOrder,ETH-USD,Sell,,0.1718
1768308956723934000,26,1,MarketOrder,ETH-USD,Buy,,0.2182
1768308956723934000,27,1,MarketOrder,ETH-USD,Sell,,0.3592
1768308957923934000,23,1,MarketOrder,ETH-USD,Sell,,0.1954
