ts,symbol,price_min,price_max,price_mid
1768308885923934000,ETH-USD,3128207107,3134330779,3131268943
1768308887923934000,ETH-USD,3129114862,3133448074,3131281468
1768308889923934000,ETH-USD,3129058125,3133441875,3131250000
1768308891923934000,ETH-USD,3128715169,3133784831,3131250000
1768308893923934000,ETH-USD,3128731330,3133637896,3131184613
1768308895923934000,ETH-USD,3128351925,3133448073,3130899999
1768308897923934000,ETH-USD,3128975134,3132677028,3130826081
1768308899923934000,ETH-USD,3128758928,3132770684,3130764806
1768308901923934000,ETH-USD,3128707000,3132653000,3130680000
1768308903923934000,ETH-USD,3128226655,3132957719,3130592187
1768308905923934000,ETH-USD,3128360700,3132708326,3130534513
1768308907923934000,ETH-USD,3128371097,3132708325,3130539711
1768308909923934000,ETH-USD,3128360701,3132708325,3130534513
1768308911923934000,ETH-USD,3128366962,3132708326,3130537644
1768308913923934000,ETH-USD,3128090269,3133039977,3130565123
1768308915923934000,ETH-USD,3128851674,3132708326,3130780000
1768308917923934000,ETH-USD,3128871654,3132958346,3130915000
1768308919923934000,ETH-USD,3129035985,3133249193,3131142589
1768308921923934000,ETH-USD,3129408484,3133505756,3131457120
1768308923923934000,ETH-USD,3129414209,3133500031,3131457120
1768308925923934000,ETH-USD,3129141170,3133582984,3131362077
1768308927923934000,ETH-USD,3128874792,3132483078,3130678935
1768308929923934000,ETH-USD,3128421862,3132463322,3130442592
1768308931923934000,ETH-USD,3128090773,3132594071,3130342422
1768308933923934000,ETH-USD,3127804690,3132866810,3130335750
1768308935923934000,ETH-USD,3128326674,3132733326,3130530000
1768308937923934000,ETH-USD,3128154486,3132985514,3130570000
1768308939923934000,ETH-USD,3128651696,3132948304,3130800000
1768308941923934000,ETH-USD,3128364914,3133278884,3130821899
1768308943923934000,ETH-USD,3128386871,3132963309,3130675090
1768308945923934000,ETH-USD,3128541992,3132628008,3130585000
1768308947923934000,ETH-USD,3128181193,3132918807,3130550000
1768308949923934000,ETH-USD,3128503296,3132628008,3130565652
1768308951923934000,ETH-USD,3127781630,3133249154,3130515392
1768308953923934000,ETH-USD,3128197748,3132826776,3130512262
1768308955923934000,ETH-USD,3128271986,3132528012,3130399999
1768308957923934000,ETH-USD,3128278247,3132528013,3130403130
1768308959923934000,ETH-USD,3128211987,3132528013,3130370000
1768308961923934000,ETH-USD,3128243212,3132538004,3130390608
1768308963923934000,ETH-USD,3127934156,3132875904,3130405030
1768308965923934000,ETH-USD,3128156721,3132383279,3130270000
1768308967923934000,ETH-USD,3128127867,3131950831,3130039349
1768308969923934000,ETH-USD,3128324624,3132205436,3130265030
1768308971923934000,ETH-USD,3128219077,3132080923,3130150000
1768308973923934000,ETH-USD,3128202301,3132248291,3130225296
1768308975923934000,ETH-USD,3128251800,3132248292,3130250046
1768308977923934000,ETH-USD,3127952064,3132548028,3130250046
1768308979923934000,ETH-USD,3128123721,3132248291,3130186006
1768308981923934000,ETH-USD,3128148763,3132248291,3130198527
1768308983923934000,ETH-USD,3128111201,3132248291,3130179746
1768308985923934000,ETH-USD,3128097074,3132248292,3130172683
